City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Butaritari,88,KI,1551141740,100,3.07,172.79,83.45,18.72
Buala,76,SB,1551141740,77,-8.15,159.59,86.06,6.42
Jalu,0,LY,1551141740,87,29.03,21.55,42.5,3.06
Dongsheng,88,CN,1551141741,90,29.72,112.52,44.26,6.42
Carauari,20,BR,1551141741,87,-4.88,-66.9,78.95,4.74
Talcahuano,0,CL,1551139200,59,-36.72,-73.12,62.6,14.99
Mitu,32,IR,1551141741,89,36.2,46.09,30.89,3.96
Dehloran,0,IR,1551141741,70,32.69,47.27,44.08,3.62
Nikolskoye,0,RU,1551141634,86,59.7,30.79,35.01,11.18
Cairns,40,AU,1551141618,83,-16.92,145.77,84,9.17
Tiksi,32,RU,1551141742,65,71.64,128.87,-4.75,6.64
Petropavlovsk-Kamchatskiy,20,RU,1551139200,44,53.05,158.65,17.6,15.66
Kerman,40,IR,1551139200,55,30.29,57.06,35.6,6.93
Narsaq,20,GL,1551138600,29,60.91,-46.05,39.2,14.99
Mount Isa,68,AU,1551139200,58,-20.73,139.49,84.2,8.05
Morondava,0,MG,1551141744,100,-20.3,44.28,77.06,1.72
Oskarshamn,12,SE,1551141004,80,57.26,16.44,42.01,10.29
Torbay,90,CA,1551141343,100,47.66,-52.73,30,20.8
Bredasdorp,48,ZA,1551141050,82,-34.53,20.04,68,6.93
Presidencia Roque Saenz Pena,68,AR,1551141745,75,-26.79,-60.44,71.53,15.03
Kaitangata,36,NZ,1551141745,57,-46.28,169.85,67.34,8.43
Saint-Augustin,0,FR,1551141635,87,44.83,-0.61,46,3.4
Cidreira,88,BR,1551141746,84,-30.17,-50.22,70.58,7.87
Bosaso,12,SO,1551141746,100,11.28,49.18,75.31,2.95
Bulolo,56,PG,1551141746,88,-7.2,146.64,69.14,2.06
Thinadhoo,68,MV,1551141747,100,0.53,72.93,80.48,6.08
Lotofaga,90,WS,1551141184,79,-13.98,-171.86,84.2,25.28
Ilulissat,80,GL,1551138600,85,69.22,-51.1,10.4,9.17
Hermanus,32,ZA,1551141061,91,-34.42,19.24,66.99,4.52
Durant,1,US,1551141623,35,33.99,-96.37,57,9.17
Los Llanos de Aridane,0,ES,1551141138,67,28.66,-17.92,60.8,2.24
Syracuse,90,US,1551141724,73,43.05,-76.15,24.8,16.11
Pevek,32,RU,1551141749,80,69.7,170.27,-12.81,9.44
The Pas,1,CA,1551139200,49,53.82,-101.24,-0.41,8.05
Verkhoyansk,12,RU,1551141749,0,67.55,133.39,-39.04,0.38
Hirara,75,JP,1551139200,83,24.8,125.28,71.6,10.29
Klyuchi,36,RU,1551141750,60,52.25,79.17,4.7,4.63
Padilla,75,CO,1551139200,61,3.23,-76.31,77,8.05
Oda,20,JP,1551139200,65,35.19,132.5,46.4,5.82
North Myrtle Beach,1,US,1551141681,61,33.83,-78.68,53.6,10.78
Tchamba,44,TG,1551141751,25,9.03,1.42,77.42,5.75
Ust-Kuyga,0,RU,1551141751,57,70,135.55,-33.33,2.95
Okha,20,RU,1551141752,86,53.59,142.95,-0.3,10.22
Cape Town,40,ZA,1551141453,100,-33.93,18.42,70,12.75
Vila Velha,0,BR,1551141560,83,-3.71,-38.6,79,5.82
Kizhinga,0,RU,1551141753,63,51.85,109.91,9.25,4.63
Tashtyp,8,RU,1551141753,67,52.8,89.89,6.28,2.28
Copiapo,0,CL,1551139200,77,-27.37,-70.33,64.4,9.17
Nome,90,US,1551141607,81,30.04,-94.42,54,9.17
Coralville,90,US,1551141452,56,41.68,-91.58,15.8,10.29
Chicama,75,PE,1551139200,78,-7.84,-79.15,77,9.17
Bealanana,56,MG,1551141754,95,-14.54,48.75,64.78,1.95
Tasiilaq,88,GL,1551138600,92,65.61,-37.64,28.4,5.82
Coxim,8,BR,1551141755,67,-18.5,-54.75,81.29,6.87
Norman Wells,75,CA,1551139200,57,65.28,-126.83,17.6,3.36
Lakes Entrance,20,AU,1551141523,29,-37.88,147.99,88,4
Egvekinot,88,RU,1551141755,85,66.32,-179.17,15.55,11.9
Poplar Bluff,1,US,1551141610,65,36.76,-90.39,46,3.36
Grand-Santi,44,GF,1551141756,84,4.27,-54.38,76.48,4.18
Paamiut,64,GL,1551141756,100,61.99,-49.67,26.3,19.84
Port Macquarie,90,AU,1551141244,57,-31.43,152.91,77,6.93
Iqaluit,75,CA,1551141164,69,63.75,-68.52,-13.01,2.24
Zheleznodorozhnyy,75,RU,1551141641,94,55.75,38,34,6.71
Saint-Philippe,90,CA,1551141700,56,45.36,-73.48,19.99,32.21
Tshikapa,56,CD,1551141758,99,-6.42,20.79,70.04,0.94
Urengoy,88,RU,1551141758,85,65.96,78.37,16.36,22.97
Vardo,1,US,1551141620,25,39.62,-77.74,41,20.8
Susangerd,0,IR,1551139200,71,31.56,48.19,55.4,6.93
Kavieng,80,PG,1551141759,100,-2.57,150.8,81.61,8.55
Atuona,8,PF,1551141759,100,-9.8,-139.03,81.2,5.97
Sonoma,90,US,1551141759,100,38.29,-122.46,54,6.93
Nabire,24,ID,1551141759,88,-3.36,135.5,74.63,2.17
Kalat,48,PK,1551141759,92,29.03,66.58,22.43,2.06
Grindavik,90,IS,1551139200,87,63.84,-22.43,48.2,29.97
Gizo,0,IL,1551141703,42,31.8,34.94,66.99,2.24
Saskylakh,32,RU,1551141760,53,71.97,114.09,-19.11,2.95
Khatanga,12,RU,1551141760,30,71.98,102.47,-21.45,4.29
Salalah,0,OM,1551138600,88,17.01,54.1,75.2,1.12
Weligama,0,LK,1551141467,100,5.97,80.42,76.97,5.64
Corvallis,90,US,1551141723,80,44.56,-123.26,41,2.28
Mount Gambier,0,AU,1551139200,60,-37.83,140.78,71.6,12.75
Rena,0,NO,1551141608,69,61.13,11.37,34,1.01
Wrexham,0,GB,1551141729,61,53.05,-2.99,48.2,5.82
Shingu,20,JP,1551139200,53,33.72,135.99,51.8,17.22
Mnogovershinnyy,0,RU,1551141763,69,53.94,139.92,1.19,4.52
Lebu,20,ET,1551139200,62,8.96,38.73,59,12.75
San Cristobal,90,EC,1551141109,87,-0.39,-78.55,59,9.17
Dmytrivka,64,UA,1551141637,64,50.46,30.17,37,11.18
San-Pedro,8,CI,1551141764,85,4.75,-6.64,80.53,10.22
Taywarah,0,AF,1551141764,52,33.35,64.42,-1.78,2.17
San Jeronimo,92,PE,1551141764,93,-13.65,-73.37,47,1.72
Lasa,20,CY,1551141100,32,34.92,32.53,66.2,10.29
Sangar,80,RU,1551141765,59,63.92,127.47,-13.35,11.68
Wuning,36,CN,1551141765,85,29.26,120.23,41.65,3.62
Honningsvag,48,NO,1551141766,100,70.98,25.97,24.01,2.39
Bontang,36,ID,1551141766,96,0.12,117.47,81.25,10.78
Kalga,0,RU,1551141766,55,50.92,118.9,1.6,2.73
Xichang,64,CN,1551141766,40,27.88,102.25,49.3,2.51
Bondo,56,CD,1551141767,90,3.81,23.69,73.37,0.38
Hambantota,20,LK,1551139800,100,6.12,81.12,75.2,1.12
Campos Altos,8,BR,1551141767,81,-19.7,-46.17,72.74,3.74
Chapais,90,CA,1551139800,70,49.78,-74.86,-5.81,20.8
Makakilo City,90,US,1551141613,69,21.35,-158.09,80.6,9.17
Hongjiang,92,CN,1551141768,97,27.21,109.83,43.13,2.95
Caranavi,100,BO,1551141768,93,-15.83,-67.57,67.79,1.61
Stranda,44,NO,1551141605,100,62.31,6.93,44.6,4.7
Bela,20,PK,1551141769,71,26.23,66.31,51.41,5.19
Davila,20,PH,1551139200,88,18.47,120.58,71.6,3.36
Tuatapere,24,NZ,1551141605,45,-46.13,167.69,68,8.99
Jiwani,0,PK,1551141770,54,25.05,61.74,64.64,13.8
Half Moon Bay,90,US,1551141467,71,37.46,-122.43,57.2,19.46
Port-Gentil,64,GA,1551141770,95,-0.72,8.78,82.51,6.87
Xam Nua,76,LA,1551141771,96,20.42,104.04,58.97,2.17
Esperance,20,TT,1551141607,94,10.24,-61.45,75.99,4.7
Tucumcari,1,US,1551141617,15,35.17,-103.73,66.2,18.34
Dumas,0,IN,1551141772,99,21.09,72.71,72.2,12.01
MBour,0,SN,1551139200,63,14.41,-16.97,66.2,13.87
Dunedin,48,NZ,1551141452,55,-45.87,170.5,64.99,5.01
Santa Maria,90,BR,1551135600,93,-29.69,-53.81,66.2,3.36
Terrak,92,NO,1551141601,93,65.09,12.37,42.8,11.41
Tabou,44,CI,1551141774,98,4.42,-7.36,82.51,12.35
Paita,24,PE,1551141774,68,-5.09,-81.11,79.9,8.1
Bethel,90,US,1551138960,74,60.79,-161.76,37.4,16.11
Karratha,0,AU,1551141775,71,-20.74,116.85,81.02,0.6
Beroroha,0,MG,1551141775,96,-21.68,45.17,68.65,2.84
Placerville,90,US,1551141623,87,38.73,-120.8,54,13.87
Obo,20,CF,1551141776,88,5.39,26.49,70.13,2.95
Porbandar,0,IN,1551141723,80,21.64,69.61,68.78,8.66
Lompoc,1,US,1551141715,71,34.64,-120.46,61,11.41
Sept-Iles,90,CA,1551141507,92,50.2,-66.38,21,3.36
Adrar,0,DZ,1551141777,43,27.87,-0.29,46.6,11.34
Kapaa,90,US,1551141500,60,22.08,-159.32,78.8,14.99
Ponta Delgada,20,PT,1551141671,71,37.73,-25.67,55,11.41
Mahebourg,40,MU,1551141542,83,-20.41,57.7,80.6,8.05
Sitka,0,US,1551141778,46,37.17,-99.65,55.28,14.36
Warkworth,0,NZ,1551141678,46,-36.4,174.66,79,8.05
Mmabatho,8,ZA,1551139200,72,-25.85,25.61,62.6,8.05
Brae,80,GB,1551138600,93,60.4,-1.35,48.2,25.28
Kattivakkam,20,IN,1551139200,94,13.22,80.32,73.4,3.36
Santona,90,ES,1551141670,100,43.44,-3.46,51.01,2.17
Akranes,75,IS,1551141338,75,64.32,-22.07,48.2,9.17
Port Elizabeth,1,US,1551141726,27,39.31,-74.98,41,16.11
Avarua,0,CK,1551139200,61,-21.21,-159.78,82.4,10.29
Touros,20,BR,1551139200,88,-5.2,-35.46,80.6,3.36
Fukue,0,JP,1551141514,53,35.03,136.69,54,23.04
Leningradskiy,68,RU,1551141781,96,69.38,178.42,-5.11,2.73
Severo-Kurilsk,64,RU,1551141781,100,50.68,156.12,22.34,12.01
Porto Novo,68,BR,1551141782,100,-23.68,-45.44,68.38,1.16
Sur,0,OM,1551141782,99,22.57,59.53,69.55,18.05
Hermon,0,GB,1551141617,86,51.96,-4.61,46,4.7
Itoman,75,JP,1551141189,72,26.12,127.67,68,10.29
Hanzhong,92,CN,1551141783,98,33.08,107.03,34.18,2.84
Sao Gabriel da Cachoeira,12,BR,1551141784,86,-0.13,-67.09,79.9,2.28
Coquimbo,0,CL,1551139200,87,-29.95,-71.34,60.8,5.82
Ilebo,20,CD,1551141784,84,-4.33,20.59,76.66,3.51
Lethem,0,GY,1551141784,36,3.38,-59.8,87.23,13.47
Rypefjord,0,NO,1551138600,86,70.63,23.67,26.6,2.24
Apodi,20,BR,1551141785,92,-5.66,-37.8,76.03,6.98
Minna,56,NG,1551141785,82,9.62,6.55,75.71,13.02
Vao,64,EE,1551141785,90,59.1,26.19,31.93,11.79
Kastrakion,20,GR,1551141615,69,39.72,21.62,33.8,4.7
Milkovo,0,BG,1551141484,80,41.53,24.68,37.99,6.93
Taoudenni,0,ML,1551141786,21,22.68,-3.98,55.6,14.14
Abu Samrah,0,SY,1551141786,80,35.3,37.18,48.71,11.01
Seoul,1,KR,1551140400,68,37.57,126.98,35.6,2.24
Tsabong,88,BW,1551141787,34,-26.02,22.4,71.12,2.73
Holme,0,GB,1551141783,52,53.7,-2.31,50,2.24
Kloulklubed,75,PW,1551138600,74,7.04,134.26,82.4,8.05
Verkhnyaya Inta,80,RU,1551141788,81,65.99,60.32,26.03,7.43
Diapaga,8,BF,1551141788,44,12.07,1.79,63.47,3.29
Bajos de Haina,40,DO,1551141201,74,18.41,-70.03,81,6.93
Cheney,90,US,1551141719,62,47.49,-117.58,24.01,19.46
Lagos,20,NG,1551139200,94,6.46,3.39,78.8,2.24
Prosvet,44,RU,1551141790,78,55.57,65.08,10.55,6.42
Saint-Joseph,0,FR,1551141485,65,43.56,6.97,53.6,4.7
Kalabo,0,ZM,1551141790,37,-15,22.67,71.93,6.76
Yoichi,75,JP,1551139200,80,43.19,140.77,30.2,3.36
Cockburn Town,0,TC,1551141769,100,21.46,-71.14,77.2,17.6
Galle,90,US,1551141789,67,29.74,-97.91,63,13.87
Ribeira Grande,44,PT,1551141791,100,38.52,-28.7,54.29,24.32
Skoghall,92,SE,1551138969,70,59.32,13.47,41,9.17
Tabuk,68,PH,1551141795,92,17.41,121.44,65.27,2.17
Aleksandrov Gay,88,RU,1551141795,90,50.14,48.57,24.23,9.44
Uppsala,36,SE,1551141746,56,59.86,17.64,42.8,12.75
Macia,8,MZ,1551141796,91,-25.03,33.09,69.95,3.18
Mariental,0,DE,1551141616,76,52.28,10.99,39,8.21
North Bend,90,US,1551141624,75,43.41,-124.22,44.6,3.36
Sao Sepe,100,BR,1551141796,75,-30.16,-53.57,72.02,9.22
Gayeri,0,BF,1551141797,43,12.65,0.49,62.08,3.29
Deutschlandsberg,75,AT,1551141741,86,46.81,15.21,37.99,2.24
Barra dos Coqueiros,40,BR,1551139200,74,-10.91,-37.04,82.4,11.41
Clovis,1,US,1551141645,36,36.83,-119.7,69.8,5.82
Hasaki,75,JP,1551141277,61,35.73,140.83,50,13.87
Klamath Falls,75,US,1551141726,86,42.22,-121.78,39,20.8
Kholodnyy,32,RU,1551141798,40,62.72,147.95,-28.51,3.62
Makat,56,KZ,1551141798,87,47.65,53.35,17.71,7.76
Raudeberg,40,NO,1551141605,93,61.99,5.14,44.01,10.29
Atar,0,MR,1551141799,18,20.52,-13.05,61.36,9.33
Baykalsk,0,RU,1551141554,38,51.52,104.15,12.99,5.99
Mandalgovi,8,MN,1551141800,67,45.76,106.27,6.77,3.62
Soderhamn,0,SE,1551141424,55,61.3,17.06,39,7
Bushehr,0,IR,1551138660,59,28.97,50.84,64.4,18.34
Ostrovnoy,76,RU,1551141801,91,68.05,39.51,23.42,15.82
Baykit,48,RU,1551141801,73,61.68,96.39,10.96,7.54
Qasigiannguit,80,GL,1551138600,85,68.82,-51.19,10.4,9.17
Ola,44,RU,1551141801,100,59.58,151.3,2,15.14
Victoria,75,BN,1551139200,83,5.28,115.24,80.6,5.82
Broken Hill,8,AU,1551139200,19,-31.97,141.45,87.8,5.82
Joshimath,68,IN,1551141803,85,30.57,79.57,1.91,0.27
San Patricio,48,PY,1551141803,93,-26.98,-56.83,68.69,5.97
Belaya Gora,8,RU,1551141803,0,68.54,146.19,-34.86,2.84
Thompson,75,CA,1551139200,52,55.74,-97.86,-7.61,9.17
Upernavik,64,GL,1551141804,100,72.79,-56.15,3.71,12.12
Husavik,0,CA,1551141604,70,50.56,-96.99,-4.01,5.99
Bambous Virieux,40,MU,1551141542,83,-20.34,57.76,80.6,8.05
Quatre Cocos,40,MU,1551141542,83,-20.21,57.76,80.6,8.05
Klaksvik,88,FO,1551140400,87,62.23,-6.59,48.2,16.11
Igrim,80,RU,1551141805,82,63.19,64.42,22.21,8.43
Carutapera,92,BR,1551141805,100,-1.2,-46.02,73.96,5.64
Katsuura,75,JP,1551139940,53,33.93,134.5,50,16.11
Pacific Grove,1,US,1551141641,58,36.62,-121.92,60.8,10.29
Longyearbyen,75,NO,1551138600,58,78.22,15.63,-4.01,2.24
Saint-Francois,0,FR,1551141034,86,46.42,3.91,33.8,2.24
Puerto Madero,0,AR,1551141605,40,-34.61,-58.36,68,3.36
Juneau,75,US,1551141555,38,58.3,-134.42,39.2,13.87
Hofn,92,IS,1551141807,91,64.25,-15.21,44.26,24.54
Gat,0,SN,1551139200,63,14.69,-16.54,66.2,13.87
Uglegorsk,12,RU,1551141807,76,49.08,142.06,10.73,3.06
Waipawa,8,NZ,1551141808,86,-39.94,176.59,62.12,3.74
Luau,36,CD,1551141808,91,-10.7,22.23,67.88,1.83
Preston,0,GB,1551141789,61,53.76,-2.71,50,5.82
Kenitra,0,MA,1551141086,59,34.26,-6.57,59,3.36
Fengzhen,48,CN,1551141812,70,40.43,113.15,26.35,2.39
Shaunavon,48,CA,1551141812,68,49.65,-108.41,-3.31,5.41
Padang,12,ID,1551141813,100,-0.92,100.36,83.99,3.18
Bakel,0,SN,1551141813,22,14.9,-12.46,65.99,10.67
Vaitape,12,PF,1551141813,98,-16.52,-151.75,84.31,8.99
Dayong,0,PH,1551141813,100,11.74,122.04,78.5,13.47
Fortuna,0,ES,1551141805,81,38.18,-1.13,48.99,3.36
Caluquembe,12,AO,1551141814,95,-13.78,14.68,60.59,3.62
Rusape,0,ZW,1551141814,92,-18.53,32.12,57.31,2.51
Kikwit,20,CD,1551141814,85,-5.04,18.82,73.06,3.96
Kazachinskoye,56,RU,1551141815,77,57.69,93.28,14.33,5.97
Ullapool,88,GB,1551141628,67,57.9,-5.16,54,1.99
Puerto Leguizamo,0,CO,1551141815,31,-0.19,-74.78,89.71,3.62
Saint George,20,GR,1551138600,69,39.45,22.34,33.8,4.7
Hammerfest,0,NO,1551138600,86,70.66,23.68,26.6,2.24
Prince Rupert,1,CA,1551139200,19,54.32,-130.32,39.2,6.93
Green River,1,US,1551141033,64,41.53,-109.47,33.8,8.05
Isangel,75,VU,1551139200,79,-19.55,169.27,86,11.41
Kushikino,0,JP,1551141226,75,31.72,130.27,51.01,3.36
Nanortalik,88,GL,1551141817,99,60.14,-45.24,34.81,11.56
Bayshore Gardens,90,US,1551141678,56,27.43,-82.59,73.99,12.75
Bud,36,NO,1551141093,100,62.91,6.91,44.6,4.7
Arraial do Cabo,75,BR,1551139200,88,-22.97,-42.02,75.2,13.87
Bodden Town,20,KY,1551141004,78,19.28,-81.25,80.6,11.41
Akdepe,0,TM,1551139200,87,42.05,59.39,37.4,6.93
Banon,0,FR,1551141604,100,44.04,5.63,44.6,2.24
Clyde River,5,CA,1551139200,74,70.47,-68.59,-27.41,4.7
Alice Springs,0,AU,1551139200,29,-23.7,133.88,89.6,8.05
Ekimchan,0,RU,1551141819,62,53.07,132.94,-5.43,2.39
Gunjur,8,GM,1551139200,68,13.18,-16.76,69.8,4.7
Shitanjing,68,CN,1551141820,75,39.23,106.34,16.81,1.72
Kudahuvadhoo,88,MV,1551141820,100,2.67,72.89,82.19,8.88
La Ronge,20,CA,1551139200,42,55.1,-105.3,5,5.82
Camacha,0,PT,1551139200,87,33.08,-16.33,60.8,4.7
Lisburn,12,GB,1551141778,87,54.51,-6.04,46.99,6.93
Oranjemund,80,ZA,1551141821,94,-28.55,16.43,64.19,7.65
Marsabit,0,KE,1551141821,73,2.34,37.99,69.73,5.08
Ocean City,20,US,1551141798,29,30.44,-86.61,64,6.93
Henties Bay,88,NA,1551139335,88,-22.12,14.28,70,1.01
Udachnyy,56,RU,1551141822,76,66.42,112.4,5.87,5.41
Ixtapa,20,MX,1551141615,61,20.71,-105.21,77,8.05
Broome,0,GB,1551141798,65,52.47,1.45,44.6,3.36
Dingle,0,PH,1551141823,74,11,122.67,74.95,8.66
Lyubech,92,UA,1551141824,74,51.7,30.66,35.98,14.7
Komsomolets,88,RU,1551141824,94,52.77,41.29,28.6,7.43
Basco,1,US,1551141736,57,40.33,-91.2,28.99,8.05
Cabo San Lucas,20,MX,1551141133,60,22.89,-109.91,72,9.17
Denpasar,20,ID,1551139200,83,-8.65,115.22,82.4,4.7
Grand Island,90,US,1551141629,71,40.92,-98.34,6.8,13.87
Sao Filipe,12,CV,1551141825,85,14.9,-24.5,73.64,13.8
Kamina,32,CD,1551141825,86,-8.74,25,70.45,1.95
Tres Arroyos,8,AR,1551141825,68,-38.38,-60.28,52.04,12.01
Palmer,0,AU,1551141628,47,-34.85,139.16,89.01,12.75
Sioux Lookout,20,CA,1551139200,58,50.1,-91.92,-5.81,6.93
Kirakira,0,SB,1551141826,100,-10.46,161.92,82.51,12.24
Kandi,0,BJ,1551141827,32,11.13,2.93,70.22,6.08
Unai,44,BR,1551141827,94,-16.36,-46.91,69.05,4.41
Koygorodok,88,RU,1551141827,83,60.44,51.01,22.7,6.98
Saint Lawrence,75,MT,1551141626,87,36.06,14.2,48.99,5.82
Westport,44,IE,1551141784,81,53.8,-9.52,54,12.46
Lazaro Cardenas,20,MX,1551141600,10,28.39,-105.62,78.8,9.17
Pisco,20,PE,1551139200,30,-13.71,-76.2,71.6,18.34
Hualmay,36,PE,1551141828,75,-11.1,-77.61,74.23,4.74
Wewak,92,PG,1551141828,87,-3.55,143.63,79.94,1.16
Grand Gaube,40,MU,1551141542,83,-20.01,57.66,80.6,8.05
Punta Alta,0,AR,1551139200,88,-27.46,-55.82,66.2,3.36
Havre-Saint-Pierre,90,CA,1551140160,78,50.23,-63.6,17.6,14.99
Meulaboh,56,ID,1551141829,100,4.14,96.13,79.36,4.63
Plettenberg Bay,24,ZA,1551141830,96,-34.05,23.37,65.68,8.77
Codrington,90,AU,1551141756,57,-28.95,153.24,78.8,6.93
Begoro,12,GH,1551141830,86,6.38,-0.38,76.16,4.07
Nishihara,75,JP,1551141827,91,35.74,139.53,55,6.93
Abilene,20,US,1551141659,25,32.45,-99.73,66.2,14.99
Liverpool,0,GB,1551141590,61,53.41,-2.98,48.99,5.82
Yumen,0,CN,1551141831,42,40.29,97.04,8.39,4.97
Bilma,48,NE,1551141831,26,18.69,12.92,56.41,9.78
Bonthe,0,SL,1551141832,89,7.53,-12.5,78.28,5.19
Aripuana,88,BR,1551141832,90,-9.17,-60.63,77.24,1.61
Samarai,0,PG,1551141832,98,-10.62,150.67,82.78,6.2
Miles City,90,US,1551141787,77,46.41,-105.84,-2.21,11.41
Khorixas,68,NA,1551141833,44,-20.37,14.96,76.48,5.3
